part_ID, part_prime, idea_ID, idea_content, idea_time, ideation_start, rel_idea_time, 
Qe98nDtnsG538Lm94, rare, MEWQTgarWGk3pPoQk, Sorry; I didn't realize you were supposed to hit Enter after each idea. I'll break that up:, 2014-06-20 17:09:05.541000, 2014-06-20 16:59:16.872000, 0:09:48.669000, 
vWZcAdYC4gf6vZKi5, rare, ajPyGLE8ERbeTDHXZ,  make arty with them, 2014-06-20 15:30:28.543000, 2014-06-20 15:30:08.917000, 0:00:19.626000, 
vWZcAdYC4gf6vZKi5, rare, CHGydrCazsDvZXKj5,  take them apart and study the inside to see what you can learn, 2014-06-20 15:30:48.358000, 2014-06-20 15:30:08.917000, 0:00:39.441000, 
vWZcAdYC4gf6vZKi5, rare, u4t787XZJSocXutgR,  takem them apart and use art with that, 2014-06-20 15:31:08.568000, 2014-06-20 15:30:08.917000, 0:00:59.651000, 
vWZcAdYC4gf6vZKi5, rare, DGusKMs2uzpED2dKi,  you could keep the creen really shiny and use it as an emergency mirror, 2014-06-20 15:31:58.192000, 2014-06-20 15:30:08.917000, 0:01:49.275000, 
vWZcAdYC4gf6vZKi5, rare, JY9dLM38J77zPfziH,  you could collect a bunch and play a weird game of jenga with them, 2014-06-20 15:32:42.808000, 2014-06-20 15:30:08.917000, 0:02:33.891000, 
vWZcAdYC4gf6vZKi5, rare, fDYG7zT3LTAt6WR6u,  you could use them for anger management and throw them against a wall, 2014-06-20 15:33:12.827000, 2014-06-20 15:30:08.917000, 0:03:03.910000, 
vWZcAdYC4gf6vZKi5, rare, iNTTXGZop2WFnuaNN,  you could use them as practice baseballs or the shoot in the one game where people throw disks and shoot at them for target practice, 2014-06-20 15:33:39.867000, 2014-06-20 15:30:08.917000, 0:03:30.950000, 
vWZcAdYC4gf6vZKi5, rare, BqxTFsM9Eezoacae4,  you could mix and match old parts and expiriment to see if you can make it work acain, 2014-06-20 15:34:50.358000, 2014-06-20 15:30:08.917000, 0:04:41.441000, 
vWZcAdYC4gf6vZKi5, rare, JSiX23SjXxZh4yGnj,  you could run over with a car just for fun, 2014-06-20 15:35:23.799000, 2014-06-20 15:30:08.917000, 0:05:14.882000, 
vWZcAdYC4gf6vZKi5, rare, Xiwc5Dib3GzioPC9n,  you could build furniture for your kid's dolls by gluing a bunch together, 2014-06-20 15:35:46.397000, 2014-06-20 15:30:08.917000, 0:05:37.480000, 
vWZcAdYC4gf6vZKi5, rare, FqBGMJo4iT5yopf2v,  you could try to balance them and make a dominos game, 2014-06-20 15:36:17.658000, 2014-06-20 15:30:08.917000, 0:06:08.741000, 
vWZcAdYC4gf6vZKi5, rare, gZFAXx4KaEDE6Jnd2,  you could write on them and make a silly deck of cards.  iCards, 2014-06-20 15:36:32.876000, 2014-06-20 15:30:08.917000, 0:06:23.959000, 
vWZcAdYC4gf6vZKi5, rare, f4y7b63v7At4rtybh,  you could set them up and play a mini set of unique drums, 2014-06-20 15:36:54.573000, 2014-06-20 15:30:08.917000, 0:06:45.656000, 
vWZcAdYC4gf6vZKi5, rare, LrshoMxsNg969DP6e, you could sell them to someone who buys junk stuff and make money, 2014-06-20 15:37:26.429000, 2014-06-20 15:30:08.917000, 0:07:17.512000, 
vWZcAdYC4gf6vZKi5, rare, JHTihTCF4yZFez2fH,  , 2014-06-20 15:37:30.112000, 2014-06-20 15:30:08.917000, 0:07:21.195000, 
Qe98nDtnsG538Lm94, rare, 8pvrAqZmqoXN6QnB2, They could be used as some kind of 3D art; like the wind chimes in the example suggestion or a mobile or something. , 2014-06-20 17:09:30.126000, 2014-06-20 16:59:16.872000, 0:10:13.254000, 
Qe98nDtnsG538Lm94, rare, L3u2NjFbFxqDc4XBY, You could probably replace or repair the batteries; or leave them plugged in; and use them as MP3 players., 2014-06-20 17:09:53.403000, 2014-06-20 16:59:16.872000, 0:10:36.531000, 
vWZcAdYC4gf6vZKi5, rare, AfqkM55t4mLNC62Lw, you could pain and frame them to make some art, 2014-06-20 15:38:27.013000, 2014-06-20 15:30:08.917000, 0:08:18.096000, 
vWZcAdYC4gf6vZKi5, rare, ZBZwvZTG7mHma7wuX,  you could see if you get one that works with a display and just play game when it's plugged in, 2014-06-20 15:38:59.710000, 2014-06-20 15:30:08.917000, 0:08:50.793000, 
vWZcAdYC4gf6vZKi5, rare, H62wHZWL4Z6H2qfuH,  you could take apart all the metal and melt it down to make stuff, 2014-06-20 15:39:23.278000, 2014-06-20 15:30:08.917000, 0:09:14.361000, 
Qe98nDtnsG538Lm94, rare, hpkNhDEJhMDhvqMAJ,  You could toss them into a Christmas present to make it rattle; and confuse the recipient., 2014-06-20 17:10:10.746000, 2014-06-20 16:59:16.872000, 0:10:53.874000, 
Qe98nDtnsG538Lm94, rare, eyR3Ly8Nc6k3BB9J3,  You could take them apart to see how they work., 2014-06-20 17:10:19.448000, 2014-06-20 16:59:16.872000, 0:11:02.576000, 
Qe98nDtnsG538Lm94, rare, omnrfY3beLiaTrQGA,  You could take them apart to harvest the parts., 2014-06-20 17:10:28.102000, 2014-06-20 16:59:16.872000, 0:11:11.230000, 
Qe98nDtnsG538Lm94, rare, vTrWFRHEFyatww2Kp,  Assuming they have a USB connection; you could use them as flash drives., 2014-06-20 17:10:44.058000, 2014-06-20 16:59:16.872000, 0:11:27.186000, 
Qe98nDtnsG538Lm94, rare, S9PY8bcfAJETy5dRF, You could hollow them out and make a box., 2014-06-20 17:10:56.479000, 2014-06-20 16:59:16.872000, 0:11:39.607000, 
Qe98nDtnsG538Lm94, rare, 8cNZMN9kmyTY6kznS,  You could take out the speakers and attach them to a laptop to make it louder., 2014-06-20 17:11:09.713000, 2014-06-20 16:59:16.872000, 0:11:52.841000, 
Qe98nDtnsG538Lm94, rare, u9vnwxmsAbghj4m39,  Or to a desktop; although those are usually loud enough already for me., 2014-06-20 17:11:36.262000, 2014-06-20 16:59:16.872000, 0:12:19.390000, 
Qe98nDtnsG538Lm94, rare, ajoNXtFrhvnHc3GrH,  You could give them as "gifts" to people you don't like., 2014-06-20 17:12:07.132000, 2014-06-20 16:59:16.872000, 0:12:50.260000, 
hwSZ8BwHxFehHZmxY, common, pFKDqrJoHqZx6kin3, In my idea older one's are gold because they work efficiently when compared to others. Even though the battery backup is not good we can use it roughly. Never forgot the old one's bcoz it's our assests to show the next generation., 2014-06-20 17:48:57.145000, 2014-06-20 17:40:59.667000, 0:07:57.478000, 
hwSZ8BwHxFehHZmxY, common, HAZNztHMFT6wSw65u, These MP3 players disc are coin case. When we has to travel it is difficult to place the things it occupy more space, 2014-06-20 17:53:41.124000, 2014-06-20 17:40:59.667000, 0:12:41.457000, 
hwSZ8BwHxFehHZmxY, common, QsGa4C9Q8Rg35B3Wg, Ipods are having large storage capacity when compared to MP3 players disc's , 2014-06-20 17:54:37.695000, 2014-06-20 17:40:59.667000, 0:13:38.028000, 
8cTvtzBvvn84EgkWk, rare, iRJaGcGatWxLoDsSg, 1. Use the working parts to repair other I-pods or MP3 players, 2014-06-21 00:00:58.422000, 2014-06-20 23:56:15.786000, 0:04:42.636000, 
8cTvtzBvvn84EgkWk, rare, tsLynPkcQKw5uA3E4,  2. Use the working parts to build new devices either similar or different devices that can use the same components, 2014-06-21 00:01:29.360000, 2014-06-20 23:56:15.786000, 0:05:13.574000, 
8cTvtzBvvn84EgkWk, rare, L4C9WiBv2CCadRjzk, 3. Use the parts in an art class and build a statue of a robot from recycled parts; glue; paper mashe; etc..., 2014-06-21 00:02:09.938000, 2014-06-20 23:56:15.786000, 0:05:54.152000, 
8cTvtzBvvn84EgkWk, rare, uoN67JRwLEsaamGSx,  Melt the metal parts and use them in recycled objects such as cans; key chains or belt buckles made out of recycled materials., 2014-06-21 00:03:04.605000, 2014-06-20 23:56:15.786000, 0:06:48.819000, 
8cTvtzBvvn84EgkWk, rare, CL4JSkNonkWJvuTen,  5. Power up the batteries via external sources such as solar power and use to power small electrical devices in the home., 2014-06-21 00:04:16.245000, 2014-06-20 23:56:15.786000, 0:08:00.459000, 
8cTvtzBvvn84EgkWk, rare, b2QYgHvRWJ8epwTCK, 6. Melt the plastic components and use them to make useable everyday items made from recycled plastic such as cups; plastic containers; plastic squirt bottles; headphones; etc..., 2014-06-21 00:06:51.166000, 2014-06-20 23:56:15.786000, 0:10:35.380000, 
8cTvtzBvvn84EgkWk, rare, J5SPt5zCo6GJiZyS6,  6. Melt the plastic components and create molds out of them for art pieces and sculptures made of recycled plastic., 2014-06-21 00:07:25.590000, 2014-06-20 23:56:15.786000, 0:11:09.804000, 
8cTvtzBvvn84EgkWk, rare, 34fGiZrSgCDPZ6mFX, 8. Paint the devices different colors and use them in different ways to decorate the house. Make them into an art project., 2014-06-21 00:08:33.410000, 2014-06-20 23:56:15.786000, 0:12:17.624000, 
8cTvtzBvvn84EgkWk, rare, FxAWKuJcnLMhR8qgt, 9. Use as paperweight., 2014-06-21 00:09:45.854000, 2014-06-20 23:56:15.786000, 0:13:30.068000, 
8cTvtzBvvn84EgkWk, rare, zk9hu9WKX8r2ECXed, 10. Keep them and begin a collection of different ipods and Mp3 players , 2014-06-21 00:10:39.146000, 2014-06-20 23:56:15.786000, 0:14:23.360000, 
NjFQhwZmB8qMeQJna, common, WQKajbKDHugBPTKyu, As something you can use to keep your papers in place., 2014-06-22 15:20:05.209000, 2014-06-22 15:17:39.983000, 0:02:25.226000, 
NjFQhwZmB8qMeQJna, common, yTdo7x2BeEGb39anZ,  As a place to put some money on the side for a rainy day., 2014-06-22 15:20:34.914000, 2014-06-22 15:17:39.983000, 0:02:54.931000, 
NjFQhwZmB8qMeQJna, common, oacJ3yQB5W62vkxo9,  You can use it as a cigarette holder., 2014-06-22 15:23:00.376000, 2014-06-22 15:17:39.983000, 0:05:20.393000, 
NjFQhwZmB8qMeQJna, common, 2CFwS3DMTvWytdRaB,  You can use it as a flash card player., 2014-06-22 15:24:08.910000, 2014-06-22 15:17:39.983000, 0:06:28.927000, 
NjFQhwZmB8qMeQJna, common, aQbvHuNcHvRrNo2WM,  Sell the parts for some extra money., 2014-06-22 15:24:28.269000, 2014-06-22 15:17:39.983000, 0:06:48.286000, 
NjFQhwZmB8qMeQJna, common, FaJzzm3ozLShHNvpG,  You can use the parts that are usable to make your own very new iPod or MP3 player., 2014-06-22 15:25:38.557000, 2014-06-22 15:17:39.983000, 0:07:58.574000, 
NjFQhwZmB8qMeQJna, common, Ldza74fHyJ5hemKg8, You can add hinges to the sides of the player and make it your very own money holder. , 2014-06-22 15:27:51.297000, 2014-06-22 15:17:39.983000, 0:10:11.314000, 
NjFQhwZmB8qMeQJna, common, uECbZYGKFN47LJkP3,  You can make holes in it and put any icing tips on it as a storage place for them., 2014-06-22 15:28:49.839000, 2014-06-22 15:17:39.983000, 0:11:09.856000, 
NjFQhwZmB8qMeQJna, common, ymTz4BGQXxCeXNmjv,  Use it as a spoon holder., 2014-06-22 15:28:56.779000, 2014-06-22 15:17:39.983000, 0:11:16.796000, 
NjFQhwZmB8qMeQJna, common, hifaenEx5bAXsXee6,  You can use it as a door stop., 2014-06-22 15:29:26.587000, 2014-06-22 15:17:39.983000, 0:11:46.604000, 
NjFQhwZmB8qMeQJna, common, fTZfF98sFy7GxQMb8, You can remove one side of the player and decorate it to make it look like a bookmark., 2014-06-22 15:31:33.653000, 2014-06-22 15:17:39.983000, 0:13:53.670000, 
Ki2WdxrHESyx7cyAu, rare, JRJnYF6mDDPtjZu2h, They can be used as baby toys which  make sound., 2014-06-22 15:39:33.146000, 2014-06-22 15:32:03.855000, 0:07:29.291000, 
Ki2WdxrHESyx7cyAu, rare, 2LearEfR8Purssxed,  , 2014-06-22 15:39:37.010000, 2014-06-22 15:32:03.855000, 0:07:33.155000, 
55N622hwqEcupbc5f, common, tXBqPpgzaiFeazEJu, 1.) If it does have a display; use it as a photo album. Hang it on the wall and have it display a slide show. Put it in a custom frame for more originality; individuality. Pair it with one that has sound only and provide a narrative for the slide show., 2014-06-22 15:41:08.891000, 2014-06-22 15:36:49.427000, 0:04:19.464000, 
55N622hwqEcupbc5f, common, g7rgsSEksaKXSR2xw, 2.) If it has a display; turn it into a clock. , 2014-06-22 15:42:37.564000, 2014-06-22 15:36:49.427000, 0:05:48.137000, 
Ki2WdxrHESyx7cyAu, rare, kdkDkHmNYSX5y2daQ, They can be used as toys for toddlers which makes noise.  , 2014-06-22 15:43:20.959000, 2014-06-22 15:32:03.855000, 0:11:17.104000, 
55N622hwqEcupbc5f, common, SjRsTZ5v93B5uFSH8, 3.) Use it as a dedicated music player through a dock. , 2014-06-22 15:44:53.754000, 2014-06-22 15:36:49.427000, 0:08:04.327000, 
55N622hwqEcupbc5f, common, ejRQksoCjqtXWa9TS, Use it as a dedicated voice recorder if it has that feature. , 2014-06-22 15:45:36.242000, 2014-06-22 15:36:49.427000, 0:08:46.815000, 
ctRW9EuD5JPQ5B7Dm, rare, GyqWLioQWNEZDWsJ7, Use them in art projects such as sculptures; frescoes; etc., 2014-06-22 15:45:31.374000, 2014-06-22 15:44:34.790000, 0:00:56.584000, 
ctRW9EuD5JPQ5B7Dm, rare, Wbh9mSeCiHnsNn3mS, recycle them for parts, 2014-06-22 15:46:07.822000, 2014-06-22 15:44:34.790000, 0:01:33.032000, 
ctRW9EuD5JPQ5B7Dm, rare, HFFHhMDrBSA5tuv2c, use for an alarm clock, 2014-06-22 15:46:35.789000, 2014-06-22 15:44:34.790000, 0:02:00.999000, 
ctRW9EuD5JPQ5B7Dm, rare, Ee8GebMs5szSMcuu5, give to your children so they can use them for pretend play, 2014-06-22 15:47:04.877000, 2014-06-22 15:44:34.790000, 0:02:30.087000, 
ctRW9EuD5JPQ5B7Dm, rare, 6bcGTWLPYr9QysBpb, give them to an inventor who may be able to fix them for other uses, 2014-06-22 15:47:27.358000, 2014-06-22 15:44:34.790000, 0:02:52.568000, 
ctRW9EuD5JPQ5B7Dm, rare, 5uyBWaoPir6t5k4de, Just throw them away., 2014-06-22 15:47:54.241000, 2014-06-22 15:44:34.790000, 0:03:19.451000, 
55N622hwqEcupbc5f, common, nXCabYtJJk4i85u6f, 5.) Make an art piece out of old or nonfunctional devices including iPods; MP3 players; older cell phones; alarm clocks (blinking 12:00; ha ha); etc. , 2014-06-22 15:48:56.154000, 2014-06-22 15:36:49.427000, 0:12:06.727000, 
55N622hwqEcupbc5f, common, 9uzze5mc8XHPcFr29, 6.) Load a "white noise" file on it and use it to hasten sleep. , 2014-06-22 15:50:04.980000, 2014-06-22 15:36:49.427000, 0:13:15.553000, 
ctRW9EuD5JPQ5B7Dm, rare, 59pAE9p6f3GM2nKXQ, clicking the menu button can be used as a stress reliever, 2014-06-22 15:50:36.811000, 2014-06-22 15:44:34.790000, 0:06:02.021000, 
55N622hwqEcupbc5f, common, XKBRsPJeD3Q4Diub7, 7.) You could just recycle them if you have no uses for them. , 2014-06-22 15:51:07.497000, 2014-06-22 15:36:49.427000, 0:14:18.070000, 
ctRW9EuD5JPQ5B7Dm, rare, vsfZe36xGQbdf6Zoc,  use for file storage if possible, 2014-06-22 15:50:48.169000, 2014-06-22 15:44:34.790000, 0:06:13.379000, 
ctRW9EuD5JPQ5B7Dm, rare, h9znC2wR7mbtKMgov,  turn it into something else such as a cigarette case or an ashtray, 2014-06-22 15:51:33.064000, 2014-06-22 15:44:34.790000, 0:06:58.274000, 
ctRW9EuD5JPQ5B7Dm, rare, BC95MuRjdy4MEtNTs, sell it for quick cash, 2014-06-22 15:52:42.665000, 2014-06-22 15:44:34.790000, 0:08:07.875000, 
ctRW9EuD5JPQ5B7Dm, rare, oLCT3rFGKMyk7sgA8, use the case part for storing things such as needles or buttons, 2014-06-22 15:53:11.951000, 2014-06-22 15:44:34.790000, 0:08:37.161000, 
ctRW9EuD5JPQ5B7Dm, rare, zH5mDKMM7o9Rz4HRm, use them to line a garden area, 2014-06-22 15:53:50.379000, 2014-06-22 15:44:34.790000, 0:09:15.589000, 
ctRW9EuD5JPQ5B7Dm, rare, 8K75jrsdKZQa8Tvvf, make into a mobile, 2014-06-22 15:54:14.169000, 2014-06-22 15:44:34.790000, 0:09:39.379000, 
ctRW9EuD5JPQ5B7Dm, rare, okNZ27hNNtHQEmhKX, pretend you are listening to music when you don't want to talk to people, 2014-06-22 15:55:39.938000, 2014-06-22 15:44:34.790000, 0:11:05.148000, 
ctRW9EuD5JPQ5B7Dm, rare, ja9vsfD4GuF7hnEWr, use the earphones on your computer or other device, 2014-06-22 15:55:57.826000, 2014-06-22 15:44:34.790000, 0:11:23.036000, 
ctRW9EuD5JPQ5B7Dm, rare, 32pyqTJeaZ2a5jLqR, use as a reminder of how much money you waste on electronic devices, 2014-06-22 15:57:16.636000, 2014-06-22 15:44:34.790000, 0:12:41.846000, 
ctRW9EuD5JPQ5B7Dm, rare, hvNtZp72udruQd8cf, use to swat flies, 2014-06-22 15:57:46.239000, 2014-06-22 15:44:34.790000, 0:13:11.449000, 
ctRW9EuD5JPQ5B7Dm, rare, QRfCg9eggo9G3vruv, give it as a gift to someone you hate, 2014-06-22 15:58:12.584000, 2014-06-22 15:44:34.790000, 0:13:37.794000, 
MWYHgtR5YTZtbT7Km, common, sZYDZwocrFH4RW7fg, Picture frames; 3D sculpting materials; melted into some material that can be used to build other things; send to third-world countries to provide for educational opportunities; use for play in doll houses (for example; for pretend Barbie TVs); paperweights; throw a bunch of them in a big glass jar for a decorative; artful piece; candleholder; coaster; make into decorative refrigerator magnets; build a doghouse out of them; build a dollhouse out of them; use to hook to your TV to play content stored on them (use outlet power) use as an external hard drive with your computer; use as a car stereo input device (where it can be externally powered through the cigarette lighter), 2014-06-22 16:05:49.669000, 2014-06-22 15:57:14.859000, 0:08:34.810000, 
MWYHgtR5YTZtbT7Km, common, NJNmoRvCNPKiufPSy, dollhouse building material; sculpture material; make refrigerator magnets; coasters; paperweights; solar power them and send to third-world countries to use for educational stuff; power them from an outlet and use with your tv to play music and videos; use them as an externally hard drive for your computer; powering them with an outlet; use them as a music source; powering them from your cigarette lighter; your car stereo; make them into a doghouse; melt them down into something that can be used as a building material; put a bunch of them in a big glass jar as an artistic; decorative element that comments on the disposability and obsolescence of technology in today's society; candleholder; toss them in a beanbags-like game; use them as a weapon to thrown at burglars or to beat them with; use them to prop books open; use them as props for plays or films, 2014-06-22 16:12:25.924000, 2014-06-22 15:57:14.859000, 0:15:11.065000, 
9XRSHfvwYaPdKEetc, common, S89wnRG2PkZKYZCnr, You could use old iPods as devices to watch movies or even watch live events on; like as a separate mini-monitor; if you could somehow connect the device to a computer or television., 2014-06-24 14:30:29.194000, 2014-06-24 14:28:59.223000, 0:01:29.971000, 
9XRSHfvwYaPdKEetc, common, DBYaunzJRSMLjLSsn, You can always still use it to listen to music; if connected to a computer or other external sound device., 2014-06-24 14:30:53.582000, 2014-06-24 14:28:59.223000, 0:01:54.359000, 
9XRSHfvwYaPdKEetc, common, 9zbLw9mgoiEtgLyNp, You could recycle the items and use the broken metal and other parts to create new devices, 2014-06-24 14:31:14.044000, 2014-06-24 14:28:59.223000, 0:02:14.821000, 
9XRSHfvwYaPdKEetc, common, 8ujCgxoeoujX3SYdi, You could sell the old devices back to apple; or even to anybody who might want them/have another use for it., 2014-06-24 14:31:29.443000, 2014-06-24 14:28:59.223000, 0:02:30.220000, 
9XRSHfvwYaPdKEetc, common, euXyZ7wPqdhiHKSPo, If you could somehow drill a slot/hole into the device; you could feasibly use the device as a coin bank., 2014-06-24 14:32:01.441000, 2014-06-24 14:28:59.223000, 0:03:02.218000, 
9XRSHfvwYaPdKEetc, common, bCRqGtF5XrzsBuoPX, You could trade them for newer devices which you would probably have a greater use for., 2014-06-24 14:32:40.466000, 2014-06-24 14:28:59.223000, 0:03:41.243000, 
9XRSHfvwYaPdKEetc, common, emscqSz2mDxjsCA3t, You could paint the devices and hang them on the ceiling or walls; as decorations., 2014-06-24 14:36:09.488000, 2014-06-24 14:28:59.223000, 0:07:10.265000, 
9XRSHfvwYaPdKEetc, common, QRsoo8GZG8jBTGszv, You could show off the collection of old iPods to others; simply to feel esteemed or proud., 2014-06-24 14:37:41.452000, 2014-06-24 14:28:59.223000, 0:08:42.229000, 
